cell_id,bs_lat,bs_lon,plmn,name,bs_is_5g,bs_has_dss,bs_band,bs_sector,bs_band_num,bs_sector_num,bs_bands_all,source_file,dem_alt_m,dem_file
205154346,43.1207673,12.2892289,22201,B3 S2 Corciano c/o Cimitero,0,0,B3,S2,3.0,2.0,B3,tim_lteitaly.clf,389.2449035644531,w47575_s10.tif
205154366,43.1207673,12.2892289,22201,B20 S2 Corciano c/o Cimitero,0,0,B20,S2,20.0,2.0,B20,tim_lteitaly.clf,389.2449035644531,w47575_s10.tif
205156137,43.0883812,12.3016015,22201,B3 S1 DSS Corciano Fraz. San Mariano Cimitero,0,1,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,340.0707092285156,w47575_s10.tif
205156138,43.0883812,12.3016015,22201,B3 S2 DSS Corciano Fraz. San Mariano Cimitero,0,1,B3,S2,3.0,2.0,B3,tim_lteitaly.clf,340.0707092285156,w47575_s10.tif
205156139,43.0883812,12.3016015,22201,B3 S3 DSS Corciano Fraz. San Mariano Cimitero,0,1,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,340.0707092285156,w47575_s10.tif
205156157,43.0883812,12.3016015,22201,B20 S1 DSS Corciano Fraz. San Mariano Cimitero,0,1,B20,S1,20.0,1.0,B20,tim_lteitaly.clf,340.0707092285156,w47575_s10.tif
205156158,43.0883812,12.3016015,22201,B20 S2 DSS Corciano Fraz. San Mariano Cimitero,0,1,B20,S2,20.0,2.0,B20,tim_lteitaly.clf,340.0707092285156,w47575_s10.tif
205156159,43.0883812,12.3016015,22201,B20 S3 DSS Corciano Fraz. San Mariano Cimitero,0,1,B20,S3,20.0,3.0,B20,tim_lteitaly.clf,340.0707092285156,w47575_s10.tif
205163807,42.9970786,12.5828131,22201,B1 S1 Cannara Stadio Via San Donato,0,0,B1,S1,1.0,1.0,B1,tim_lteitaly.clf,190.68809509277344,w47575_s10.tif
205163808,42.9970786,12.5828131,22201,B1 S2 Cannara Stadio Via San Donato,0,0,B1,S2,1.0,2.0,B1,tim_lteitaly.clf,190.68809509277344,w47575_s10.tif
205163809,42.9970786,12.5828131,22201,B1 S3 Cannara Stadio Via San Donato,0,0,B1,S3,1.0,3.0,B1,tim_lteitaly.clf,190.68809509277344,w47575_s10.tif
205163810,42.9970786,12.5828131,22201,B1 S4 Cannara Stadio Via San Donato,0,0,B1,S4,1.0,4.0,B1,tim_lteitaly.clf,190.68809509277344,w47575_s10.tif
205163817,42.9970786,12.5828131,22201,B3 S1 Cannara Stadio Via San Donato,0,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,190.68809509277344,w47575_s10.tif
205163818,42.9970786,12.5828131,22201,B3 S2 Cannara Stadio Via San Donato,0,0,B3,S2,3.0,2.0,B3,tim_lteitaly.clf,190.68809509277344,w47575_s10.tif
205163819,42.9970786,12.5828131,22201,B3 S3 Cannara Stadio Via San Donato,0,0,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,190.68809509277344,w47575_s10.tif
205163820,42.9970786,12.5828131,22201,B3 S4 Cannara Stadio Via San Donato,0,0,B3,S4,3.0,4.0,B3,tim_lteitaly.clf,190.68809509277344,w47575_s10.tif
205163837,42.9970786,12.5828131,22201,B20 S1 Cannara Stadio Via San Donato,0,0,B20,S1,20.0,1.0,B20,tim_lteitaly.clf,190.68809509277344,w47575_s10.tif
205163838,42.9970786,12.5828131,22201,B20 S2 Cannara Stadio Via San Donato,0,0,B20,S2,20.0,2.0,B20,tim_lteitaly.clf,190.68809509277344,w47575_s10.tif
205163839,42.9970786,12.5828131,22201,B20 S3 Cannara Stadio Via San Donato,0,0,B20,S3,20.0,3.0,B20,tim_lteitaly.clf,190.68809509277344,w47575_s10.tif
205163840,42.9970786,12.5828131,22201,B20 S4 Cannara Stadio Via San Donato,0,0,B20,S4,20.0,4.0,B20,tim_lteitaly.clf,190.68809509277344,w47575_s10.tif
205164073,42.8670412,12.7324777,22201,B3 S1 Trevi Via Clitunno,0,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,214.82080078125,w47580_s10.tif
205164075,42.8670412,12.7324777,22201,B3 S3 Trevi Via Clitunno,0,0,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,214.82080078125,w47580_s10.tif
205164093,42.8670412,12.7324777,22201,B20 S1 Trevi Via Clitunno,0,0,B20,S1,20.0,1.0,B20,tim_lteitaly.clf,214.82080078125,w47580_s10.tif
205173053,43.1173583,12.224453,22201,B20 S1 DSS Magione Monte Sperello,0,1,B20,S1,20.0,1.0,B20,tim_lteitaly.clf,407.0050964355469,w47575_s10.tif
205194537,43.0709341,12.6146559,22201,B3 S1 Assisi Piazza del Comune,0,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,407.815185546875,w47575_s10.tif
205194538,43.0709341,12.6146559,22201,B3 S2 Assisi Piazza del Comune,0,0,B3,S2,3.0,2.0,B3,tim_lteitaly.clf,407.815185546875,w47575_s10.tif
205194539,43.0709341,12.6146559,22201,B3 S3 Assisi Piazza del Comune,0,0,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,407.815185546875,w47575_s10.tif
205194783,43.1515051,12.2005736,22201,B1 S1 DSS Magione Cimitero,0,1,B1,S1,1.0,1.0,B1,tim_lteitaly.clf,430.8843994140625,w47575_s10.tif
205194793,43.1515051,12.2005736,22201,B3 S1 DSS Magione Cimitero,0,1,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,430.8843994140625,w47575_s10.tif
205195049,43.1145728,12.360057,22201,B3 S1 Perugia Str. Santa Lucia,0,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,290.9313049316406,w47575_s10.tif
205195050,43.1145728,12.360057,22201,B3 S2 Perugia Str. Santa Lucia,0,0,B3,S2,3.0,2.0,B3,tim_lteitaly.clf,290.9313049316406,w47575_s10.tif
205195051,43.1145728,12.360057,22201,B3 S3 Perugia Str. Santa Lucia,0,0,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,290.9313049316406,w47575_s10.tif
205195069,43.1145728,12.360057,22201,B20 S1 Perugia Str. Santa Lucia,0,0,B20,S1,20.0,1.0,B20,tim_lteitaly.clf,290.9313049316406,w47575_s10.tif
205195071,43.1145728,12.360057,22201,B20 S3 Perugia Str. Santa Lucia,0,0,B20,S3,20.0,3.0,B20,tim_lteitaly.clf,290.9313049316406,w47575_s10.tif
